Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0,GDP per capita,Population (historical),Continent,Health Expenditure,life_Category,Health_Expenditure_Category,GDP_Category,Population_Category
Slovenia,SVN,2019.0,81.6,30229.299,2083436.0,Europe,3478.892,Very High,Very High,Very High,Low
South Africa,ZAF,2019.0,66.2,11739.936,59587880.0,Africa,1187.4005,Low,High,Medium,Very High
South Korea,KOR,2019.0,83.7,38935.992,51767843.0,Asia,3497.8677,Very High,Very High,Very High,Very High
Spain,ESP,2019.0,83.5,34957.465,47435120.0,Europe,3826.7764,Very High,Very High,Very High,Very High
Sri Lanka,LKA,2019.0,76.0,11939.55,22410552.0,Asia,502.33908,High,Medium,Medium,High
Sweden,SWE,2019.0,83.1,45434.402,10279122.0,Europe,5942.428,Very High,Very High,Very High,Medium
Switzerland,CHE,2019.0,83.8,62448.598,8577526.0,Europe,8159.703,Very High,Very High,Very High,Medium
Tajikistan,TJK,2019.0,70.9,4695.543,9529971.0,Asia,258.9041,Medium,Medium,Low,Medium
Tanzania,TZA,2019.0,67.0,2894.6472,59174889.0,Africa,101.03467,Medium,Low,Low,Very High
Thailand,THA,2019.0,79.0,16905.293,71522265.0,Asia,724.52344,Very High,Medium,High,Very High
Togo,TGO,2019.0,60.9,1501.8667,8463068.0,Africa,122.358955,Low,Low,Low,Medium
Trinidad and Tobago,TTO,2019.0,74.2,27582.568,1484898.0,North America,1734.4132,High,High,Very High,Low
Tunisia,TUN,2019.0,76.0,11451.897,11875085.0,Africa,631.6803,High,Medium,Medium,High
Turkey,TUR,2019.0,77.8,23497.504,85357671.0,Asia,1170.5746,High,High,High,Very High
Turkmenistan,TKM,2019.0,69.0,17264.172,6803942.0,Asia,937.08685,Medium,High,High,Medium
Uganda,UGA,2019.0,63.0,2128.9087,42999636.0,Africa,94.350716,Low,Low,Low,Very High
Ukraine,UKR,2019.0,74.5,10139.761,44957450.0,Europe,900.02954,High,High,Medium,Very High
United Arab Emirates,ARE,2019.0,79.7,74396.14,9377855.0,Asia,3244.3728,Very High,Very High,Very High,Medium
United Kingdom,GBR,2019.0,81.7,39113.01,67110958.0,Europe,4856.4956,Very High,Very High,Very High,Very High
United States,USA,2019.0,79.1,56469.26,337790068.0,North America,10661.028,Very High,Very High,Very High,Very High
Uruguay,URY,2019.0,77.5,19714.148,3397205.0,South America,2276.2139,High,Very High,High,Low
Uzbekistan,UZB,2019.0,71.3,11219.243,32964702.0,Asia,423.5923,Medium,Medium,Medium,High
Venezuela,VEN,2019.0,72.2,7061.7617,28938095.0,South America,469.13428,Medium,Medium,Medium,High
Vietnam,VNM,2019.0,74.1,7266.0483,97173778.0,Asia,536.00665,Medium,Medium,Medium,Very High
Zambia,ZMB,2019.0,62.8,3466.2363,18513841.0,Africa,186.97934,Low,Low,Low,High
Zimbabwe,ZWE,2019.0,61.3,1753.0244,15271377.0,Africa,132.0687,Low,Low,Low,High
